holder_id,check,detail,severity
H0000012,nino_malformed,NINO fails structure: bad_format,blocking
H0000013,address_incomplete,missing address_line_1,advisory
H0000020,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0000021,nino_malformed,NINO fails structure: bad_suffix,blocking
H0000025,dob_missing,date_of_birth='',advisory
H0000050,address_incomplete,missing address_line_1,advisory
H0000058,nino_missing,NINO absent,blocking
H0000058,dob_missing,date_of_birth='',advisory
H0000076,nino_missing,NINO absent,blocking
H0000106,nino_malformed,NINO fails structure: suffix_blank,blocking
H0000132,address_incomplete,missing postcode,advisory
H0000161,dob_missing,date_of_birth='',advisory
H0000188,nino_malformed,NINO fails structure: bad_suffix,blocking
H0000193,nino_malformed,NINO fails structure: bad_format,blocking
H0000207,nino_missing,NINO absent,blocking
H0000221,dob_missing,date_of_birth='',advisory
H0000225,nino_missing,NINO absent,blocking
H0000243,address_incomplete,missing postcode,advisory
H0000259,dob_missing,date_of_birth='',advisory
H0000265,address_incomplete,missing address_line_1,advisory
H0000282,address_incomplete,missing postcode,advisory
H0000300,nino_malformed,NINO fails structure: suffix_blank,blocking
H0000302,address_incomplete,missing postcode,advisory
H0000331,nino_malformed,NINO fails structure: suffix_blank,blocking
H0000394,nino_missing,NINO absent,blocking
H0000396,nino_malformed,NINO fails structure: suffix_blank,blocking
H0000405,address_incomplete,missing address_line_1,advisory
H0000415,nino_missing,NINO absent,blocking
H0000429,nino_missing,NINO absent,blocking
H0000434,address_incomplete,missing address_line_1,advisory
H0000493,nino_missing,NINO absent,blocking
H0000544,dob_missing,date_of_birth='',advisory
H0000552,nino_missing,NINO absent,blocking
H0000554,nino_missing,NINO absent,blocking
H0000564,dob_missing,date_of_birth='',advisory
H0000581,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0000584,nino_missing,NINO absent,blocking
H0000609,dob_missing,date_of_birth='',advisory
H0000611,dob_missing,date_of_birth='',advisory
H0000633,nino_missing,NINO absent,blocking
H0000636,nino_missing,NINO absent,blocking
H0000639,nino_missing,NINO absent,blocking
H0000643,nino_malformed,NINO fails structure: bad_format,blocking
H0000652,address_incomplete,missing address_line_1,advisory
H0000655,nino_missing,NINO absent,blocking
H0000661,nino_malformed,NINO fails structure: bad_format,blocking
H0000693,nino_malformed,NINO fails structure: bad_format,blocking
H0000700,dob_missing,date_of_birth='',advisory
H0000750,address_incomplete,missing address_line_1,advisory
H0000758,address_incomplete,missing postcode,advisory
H0000770,nino_missing,NINO absent,blocking
H0000774,nino_missing,NINO absent,blocking
H0000779,nino_missing,NINO absent,blocking
H0000789,address_incomplete,missing address_line_1,advisory
H0000793,dob_missing,date_of_birth='',advisory
H0000809,nino_missing,NINO absent,blocking
H0000816,address_incomplete,missing address_line_1,advisory
H0000826,nino_malformed,NINO fails structure: bad_format,blocking
H0000828,dob_missing,date_of_birth='',advisory
H0000836,nino_missing,NINO absent,blocking
H0000843,nino_missing,NINO absent,blocking
H0000864,nino_missing,NINO absent,blocking
H0000877,nino_missing,NINO absent,blocking
H0000880,nino_missing,NINO absent,blocking
H0000916,nino_malformed,NINO fails structure: bad_format,blocking
H0000920,nino_missing,NINO absent,blocking
H0000928,address_incomplete,missing address_line_1,advisory
H0000935,nino_malformed,NINO fails structure: bad_format,blocking
H0000937,dob_missing,date_of_birth='',advisory
H0000938,nino_missing,NINO absent,blocking
H0000978,nino_missing,NINO absent,blocking
H0001000,address_incomplete,missing address_line_1,advisory
H0001023,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001024,address_incomplete,missing address_line_1,advisory
H0001029,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001036,address_incomplete,missing address_line_1,advisory
H0001047,address_incomplete,missing address_line_1,advisory
H0001063,nino_missing,NINO absent,blocking
H0001069,nino_missing,NINO absent,blocking
H0001088,dob_missing,date_of_birth='',advisory
H0001114,address_incomplete,missing postcode,advisory
H0001134,address_incomplete,missing postcode,advisory
H0001145,nino_malformed,NINO fails structure: bad_format,blocking
H0001155,dob_missing,date_of_birth='',advisory
H0001183,dob_missing,date_of_birth='',advisory
H0001189,address_incomplete,missing address_line_1,advisory
H0001199,address_incomplete,missing postcode,advisory
H0001206,nino_missing,NINO absent,blocking
H0001212,address_incomplete,missing postcode,advisory
H0001222,dob_missing,date_of_birth='',advisory
H0001231,nino_missing,NINO absent,blocking
H0001240,nino_missing,NINO absent,blocking
H0001248,address_incomplete,missing address_line_1,advisory
H0001257,dob_missing,date_of_birth='',advisory
H0001278,nino_missing,NINO absent,blocking
H0001290,address_incomplete,missing address_line_1,advisory
H0001292,nino_missing,NINO absent,blocking
H0001310,nino_malformed,NINO fails structure: bad_format,blocking
H0001332,dob_missing,date_of_birth='',advisory
H0001335,nino_missing,NINO absent,blocking
H0001336,address_incomplete,missing address_line_1,advisory
H0001343,nino_missing,NINO absent,blocking
H0001345,nino_missing,NINO absent,blocking
H0001345,address_incomplete,missing postcode,advisory
H0001346,nino_missing,NINO absent,blocking
H0001362,address_incomplete,missing postcode,advisory
H0001373,address_incomplete,missing postcode,advisory
H0001378,address_incomplete,missing address_line_1,advisory
H0001396,nino_missing,NINO absent,blocking
H0001398,nino_missing,NINO absent,blocking
H0001399,address_incomplete,missing postcode,advisory
H0001418,dob_missing,date_of_birth='',advisory
H0001418,address_incomplete,missing postcode,advisory
H0001438,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001448,nino_missing,NINO absent,blocking
H0001455,dob_missing,date_of_birth='',advisory
H0001456,address_incomplete,missing address_line_1,advisory
H0001476,nino_missing,NINO absent,blocking
H0001480,address_incomplete,missing address_line_1,advisory
H0001485,nino_malformed,NINO fails structure: bad_format,blocking
H0001490,dob_missing,date_of_birth='',advisory
H0001517,dob_missing,date_of_birth='',advisory
H0001527,nino_malformed,NINO fails structure: bad_format,blocking
H0001541,nino_malformed,NINO fails structure: bad_suffix,blocking
H0001547,nino_malformed,NINO fails structure: bad_format,blocking
H0001559,nino_missing,NINO absent,blocking
H0001569,nino_missing,NINO absent,blocking
H0001572,dob_missing,date_of_birth='',advisory
H0001582,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0001587,address_incomplete,missing postcode,advisory
H0001600,address_incomplete,missing address_line_1,advisory
H0001603,address_incomplete,missing address_line_1,advisory
H0001609,nino_missing,NINO absent,blocking
H0001615,address_incomplete,missing postcode,advisory
H0001619,nino_missing,NINO absent,blocking
